Area,Year,Case
"Abbotsford-Mission, British Columbia",2003,408.5
"Abbotsford-Mission, British Columbia",2004,402.4
"Abbotsford-Mission, British Columbia",2005,417.8
"Abbotsford-Mission, British Columbia",2006,421.9
"Abbotsford-Mission, British Columbia",2007,446.2
"Abbotsford-Mission, British Columbia",2008,435.8
"Abbotsford-Mission, British Columbia",2009,446.2
"Abbotsford-Mission, British Columbia",2010,446.9
"Abbotsford-Mission, British Columbia",2011,465.6
"Abbotsford-Mission, British Columbia",2012,465
"Abbotsford-Mission, British Columbia",2013,454.3
"Abbotsford-Mission, British Columbia",2014,463.6
"Abbotsford-Mission, British Columbia",2015,458.1
"Barrie, Ontario ",2003,402.1
"Barrie, Ontario ",2004,400.2
"Barrie, Ontario ",2005,404.7
"Barrie, Ontario ",2006,413.7
"Barrie, Ontario ",2007,424.5
"Barrie, Ontario ",2008,420.9
"Barrie, Ontario ",2009,428.8
"Barrie, Ontario ",2010,456
"Barrie, Ontario ",2011,504.5
"Barrie, Ontario ",2012,526.8
"Barrie, Ontario ",2013,531.3
"Barrie, Ontario ",2014,520.2
"Barrie, Ontario ",2015,529
"Brantford, Ontatio ",2003,457.3
"Brantford, Ontatio ",2004,471.6
"Brantford, Ontatio ",2005,493.6
"Brantford, Ontatio ",2006,514.4
"Brantford, Ontatio ",2007,529.4
"Brantford, Ontatio ",2008,534.6
"Brantford, Ontatio ",2009,551
"Brantford, Ontatio ",2010,571.2
"Brantford, Ontatio ",2011,584.7
"Brantford, Ontatio ",2012,588
"Brantford, Ontatio ",2013,574.9
"Brantford, Ontatio ",2014,570.2
"Brantford, Ontatio ",2015,567.9
"Calgary, Alberta",2003,379
"Calgary, Alberta",2004,381.5
"Calgary, Alberta",2005,377.7
"Calgary, Alberta",2006,373
"Calgary, Alberta",2007,371.9
"Calgary, Alberta",2008,372.3
"Calgary, Alberta",2009,372.3
"Calgary, Alberta",2010,369.9
"Calgary, Alberta",2011,377.3
"Calgary, Alberta",2012,378.8
"Calgary, Alberta",2013,377.1
"Calgary, Alberta",2014,376.9
